net,length_um
_14371_,178.48
_14064_,178.38
_05948_,178.36
_12902_,178.32
_06548_,178.25
_08426_,178.195
_03306_,178.17
_11955_,178.13
_04650_,177.9
_10910_,177.8
_11146_,177.77
mem_rdata_q\[15\],177.62
genblk1.pcpi_mul.rs1\[2\],177.59
_01815_,177.46
reg_next_pc\[21\],177.44
_09106_,177.395
_09054_,177.25
_10510_,177.16
net38,177.1
irq_mask\[24\],177.06
_13083_,177.04
_08479_,177
_08748_,176.84
_03718_,176.78
_02369_,176.76
_10900_,176.735
net77,176.66
_10252_,176.52
_09697_,176.46
_14703_,176.45
_05868_,176.44
_04320_,176.42
_01741_,176.34
genblk1.pcpi_mul.rs2\[25\],176.24
decoded_imm\[12\],176.1
_13986_,176
_13005_,175.94
net169,175.7
_10472_,175.45
_12768_,175.32
genblk1.pcpi_mul.rs2\[17\],175.3
_10950_,175.28
_02678_,175.16
_01612_,175.12
_10012_,175.1
_10283_,175.02
_11315_,175
_12071_,175
_14192_,174.86
_10972_,174.76
net249,174.74
_12005_,174.68
_01543_,174.46
_08647_,174.46
net60,174.36
net263,174.34
genblk1.pcpi_mul.rs1\[7\],174.24
_06073_,174.14
_05159_,174.02
_09794_,173.92
_09578_,173.81
_10946_,173.79
_11648_,173.58
cpuregs\[12\]\[25\],173.54
_06499_,173.46
net32,173.44
_01819_,173.27
_10898_,173.24
_09940_,173.2
_14310_,173.15
genblk1.pcpi_mul.rs2\[16\],173.095
_11572_,172.92
net61,172.905
_06349_,172.72
_12629_,172.6
_09632_,172.555
_10498_,172.54
net346,172.46
_05994_,172.2
